season,supply,supply_formatted,calculated_value,cumulative_sum
2792,11258280227302,11258280.227302,4690950094.709170,1109280306863.804932
2793,11258281227302,11258281.227302,4690950511.375837,1113971257375.180664
2794,11258282227302,11258282.227302,4690950928.042504,1118662208303.223145
2795,11258283227302,11258283.227302,4690951344.709170,1123353159647.932373
2796,11258284227302,11258284.227302,4690951761.375837,1128044111409.308105
2797,11258285227302,11258285.227302,4690952178.042503,1132735063587.350586
2798,11258286227302,11258286.227302,4690952594.709170,1137426016182.059814
2799,11258287227302,11258287.227302,4690953011.375837,1142116969193.435547
2800,11258288227302,11258288.227302,4690953428.042504,1146807922621.478027
2801,11258289227302,11258289.227302,4690953844.709170,1151498876466.187256
2802,11258290227302,11258290.227302,4690954261.375837,1156189830727.562988
2803,11258291227302,11258291.227302,4690954678.042503,1160880785405.605469
2804,11258292227302,11258292.227302,4690955094.709170,1165571740500.314697
2805,11258293227302,11258293.227302,4690955511.375837,1170262696011.690430
2806,11258294227302,11258294.227302,4690955928.042504,1174953651939.732910
2807,11258295227302,11258295.227302,4690956344.709170,1179644608284.442139
2808,11258296227302,11258296.227302,4690956761.375836,1184335565045.817871
2809,11258297227302,11258297.227302,4690957178.042503,1189026522223.860352
2810,11258298227302,11258298.227302,4690957594.709170,1193717479818.569580
2811,11258299227302,11258299.227302,4690958011.375837,1198408437829.945312
2812,11258300227302,11258300.227302,4690958428.042503,1203099396257.987793
2813,11258301227302,11258301.227302,4690958844.709170,1207790355102.697021
2814,11258302227302,11258302.227302,4690959261.375837,1212481314364.072754
2815,11258303227302,11258303.227302,4690959678.042504,1217172274042.115234
2816,11258304227302,11258304.227302,4690960094.709170,1221863234136.824463
2817,11258305227302,11258305.227302,4690960511.375837,1226554194648.200195
2818,11258306227302,11258306.227302,4690960928.042503,1231245155576.242676
2819,11258307227302,11258307.227302,4690961344.709170,1235936116920.951904
2820,11258308227302,11258308.227302,4690961761.375837,1240627078682.327637
2821,11258309227302,11258309.227302,4690962178.042504,1245318040860.370117
2822,11258310227302,11258310.227302,4690962594.709170,1250009003455.079346
2823,11258311227302,11258311.227302,4690963011.375837,1254699966466.455078
2824,11258312227302,11258312.227302,4690963428.042503,1259390929894.497559
2825,11258313227302,11258313.227302,4690963844.709170,1264081893739.206787
2826,11258314227302,11258314.227302,4690964261.375837,1268772858000.582520
2827,11258315227302,11258315.227302,4690964678.042504,1273463822678.625000
2828,11258316227302,11258316.227302,4690965094.709170,1278154787773.334229
2829,11258317227302,11258317.227302,4690965511.375837,1282845753284.709961
2830,11258318227302,11258318.227302,4690965928.042503,1287536719212.752441
2831,11258319227302,11258319.227302,4690966344.709170,1292227685557.461670
2832,11258320227302,11258320.227302,4690966761.375837,1296918652318.837402
2833,11258321227302,11258321.227302,4690967178.042503,1301609619496.879883
