season,supply_formatted,calculated_value,cumulative_sum
3008,11132835.954107,4638.681648,2102001.274329
3009,11132700.866605,4638.625361,2106639.899690
3010,11132701.886705,4638.625786,2111278.525476
3011,11132702.906805,4638.626211,2115917.151687
3012,11132703.926905,4638.626636,2120555.778323
3013,11132704.947005,4638.627061,2125194.405384
3014,11132575.197462,4638.572999,2129832.978383
3015,11132397.000704,4638.498750,2134471.477134
3016,11132166.589660,4638.402746,2139109.879879
3017,11131882.947627,4638.284562,2143748.164441
3018,11131549.888605,4638.145787,2148386.310228
3019,11131164.145718,4637.985061,2153024.295289
3020,11131165.165818,4637.985486,2157662.280774
3021,11131037.424753,4637.932260,2162300.213035
3022,11131038.444853,4637.932685,2166938.145720
3023,11130907.473552,4637.878114,2171576.023834
3024,11130908.493652,4637.878539,2176213.902373
3025,11130909.513752,4637.878964,2180851.781337
3026,11130910.533852,4637.879389,2185489.660726
3027,11130911.553952,4637.879814,2190127.540540
3028,11130912.574052,4637.880239,2194765.420780
3029,11130913.594152,4637.880664,2199403.301444
3030,11130914.614252,4637.881089,2204041.182533
3031,11130915.634352,4637.881514,2208679.064047
3032,11130916.654452,4637.881939,2213316.945987
3033,11130917.674552,4637.882364,2217954.828351
3034,11130786.865306,4637.827861,2222592.656212
3035,11130787.885406,4637.828286,2227230.484497
3036,11130788.905506,4637.828711,2231868.313208
3037,11130789.925606,4637.829136,2236506.142343
3038,11130790.945706,4637.829561,2241143.971904
3039,11130653.452378,4637.772272,2245781.744176
3040,11130654.472478,4637.772697,2250419.516873
3041,11130515.903480,4637.714960,2255057.231833
3042,11130516.923580,4637.715385,2259694.947218
3043,11130517.943680,4637.715810,2264332.663027
3044,11130518.963780,4637.716235,2268970.379262
3045,11130519.983880,4637.716660,2273608.095922
3046,11130380.030300,4637.658346,2278245.754268
3047,11130381.050400,4637.658771,2282883.413039
3048,11130382.070500,4637.659196,2287521.072235
3049,11130383.090600,4637.659621,2292158.731856
3050,11130384.110700,4637.660046,2296796.391902
3051,11130385.130800,4637.660471,2301434.052374
3052,11130248.640277,4637.603600,2306071.655974
3053,11130058.293536,4637.524289,2310709.180263
3054,11130059.313636,4637.524714,2315346.704977
3055,11130060.333736,4637.525139,2319984.230116
3056,11130061.353836,4637.525564,2324621.755680
3057,11130062.373936,4637.525989,2329259.281669
3058,11130063.394036,4637.526414,2333896.808083
3059,11130064.414136,4637.526839,2338534.334922
3060,11130065.434236,4637.527264,2343171.862187
3061,11130066.454336,4637.527689,2347809.389876
3062,11129925.109154,4637.468795,2352446.858671
3063,11129926.129254,4637.469221,2357084.327892
3064,11129785.624384,4637.410677,2361721.738569
3065,11129786.644484,4637.411102,2366359.149671
3066,11129646.509267,4637.352712,2370996.502383
3067,11129647.529367,4637.353137,2375633.855520
3068,11129509.326701,4637.295553,2380271.151073
3069,11129317.328168,4637.215553,2384908.366626
3070,11129318.348268,4637.215978,2389545.582605
3071,11129319.368368,4637.216403,2394182.799008
3072,11129320.408972,4637.216837,2398820.015845
3073,11129321.429072,4637.217262,2403457.233107
3074,11129182.438857,4637.159350,2408094.392457
3075,11128989.164695,4637.078819,2412731.471276
3076,11128990.184795,4637.079244,2417368.550519
3077,11128991.204895,4637.079669,2422005.630188
3078,11128992.224995,4637.080094,2426642.710282
3079,11128993.245095,4637.080519,2431279.790800
3080,11128994.265195,4637.080944,2435916.871744
3081,11128995.285295,4637.081369,2440553.953113
3082,11128996.305395,4637.081794,2445191.034907
3083,11128997.325495,4637.082219,2449828.117126
3084,11128998.345595,4637.082644,2454465.199770
3085,11128999.365695,4637.083069,2459102.282839
3086,11128845.757167,4637.019065,2463739.301905
3087,11128630.945496,4636.929561,2468376.231465
3088,11128355.726088,4636.814886,2473013.046351
3089,11128356.746188,4636.815311,2477649.861662
3090,11128199.160123,4636.749650,2482286.611312
3091,11128200.180223,4636.750075,2486923.361387
3092,11128034.868645,4636.681195,2491560.042582
3093,11127809.394036,4636.587248,2496196.629830
3094,11127810.414136,4636.587673,2500833.217502
3095,11127811.434236,4636.588098,2505469.805600
3096,11127648.145939,4636.520061,2510106.325661
3097,11127649.166039,4636.520486,2514742.846147
3098,11127650.186139,4636.520911,2519379.367058
3099,11127651.206239,4636.521336,2524015.888394
3100,11127652.246843,4636.521770,2528652.410163
3101,11127653.266943,4636.522195,2533288.932358
3102,11127654.287043,4636.522620,2537925.454977
3103,11127655.307143,4636.523045,2542561.978022
3104,11127656.327243,4636.523470,2547198.501492
3105,11127657.347343,4636.523895,2551835.025386
3106,11127658.367443,4636.524320,2556471.549706
3107,11127659.387543,4636.524745,2561108.074451
3108,11127660.407643,4636.525170,2565744.599621
3109,11127661.427743,4636.525595,2570381.125216
3110,11127662.447843,4636.526020,2575017.651236
3111,11127663.467943,4636.526445,2579654.177681
3112,11127664.488043,4636.526870,2584290.704551
3113,11127665.508143,4636.527295,2588927.231846
3114,11127666.528243,4636.527720,2593563.759566
3115,11127667.548343,4636.528145,2598200.287711
3116,11127668.568443,4636.528570,2602836.816281
3117,11127669.588543,4636.528995,2607473.345276
3118,11127670.608643,4636.529420,2612109.874697
3119,11127671.628743,4636.529845,2616746.404542
3120,11127672.648843,4636.530270,2621382.934812
3121,11127673.668943,4636.530695,2626019.465508
3122,11127674.689043,4636.531120,2630655.996628
3123,11127675.709143,4636.531545,2635292.528173
3124,11127676.729243,4636.531971,2639929.060144
3125,11127677.749343,4636.532396,2644565.592540
3126,11127678.769443,4636.532821,2649202.125360
3127,11127679.789543,4636.533246,2653838.658606
3128,11127680.809643,4636.533671,2658475.192276
3129,11127681.829743,4636.534096,2663111.726372
3130,11127682.849843,4636.534521,2667748.260893
3131,11127683.869943,4636.534946,2672384.795839
3132,11127684.910547,4636.535379,2677021.331218
3133,11127685.930647,4636.535804,2681657.867023
3134,11127686.950747,4636.536229,2686294.403252
3135,11127687.970847,4636.536655,2690930.939907
3136,11127688.990947,4636.537080,2695567.476986
3137,11127690.011047,4636.537505,2700204.014491
3138,11127691.031147,4636.537930,2704840.552420
3139,11127692.051247,4636.538355,2709477.090775
3140,11127693.071347,4636.538780,2714113.629555
3141,11127694.091447,4636.539205,2718750.168760
3142,11127695.132051,4636.539638,2723386.708398
3143,11127597.803076,4636.499085,2728023.207483
3144,11127445.096751,4636.435457,2732659.642940
3145,11127446.116851,4636.435882,2737296.078822
3146,11127447.136951,4636.436307,2741932.515129
3147,11127448.157051,4636.436732,2746568.951861
3148,11127449.177151,4636.437157,2751205.389018
3149,11127450.197251,4636.437582,2755841.826600
3150,11127451.217351,4636.438007,2760478.264607
3151,11127452.237451,4636.438432,2765114.703040
3152,11127453.257551,4636.438857,2769751.141897
3153,11127454.277651,4636.439282,2774387.581179
3154,11127455.297751,4636.439707,2779024.020887
3155,11127456.317851,4636.440132,2783660.461019
3156,11127457.337951,4636.440557,2788296.901577
3157,11127458.358051,4636.440983,2792933.342559
3158,11127459.378151,4636.441408,2797569.783967
3159,11127305.396940,4636.377249,2802206.161215
3160,11127092.484152,4636.288535,2806842.449750
3161,11127093.504252,4636.288960,2811478.738711
3162,11127094.524352,4636.289385,2816115.028096
3163,11127095.544452,4636.289810,2820751.317906
3164,11127096.564552,4636.290235,2825387.608141
3165,11127097.584652,4636.290660,2830023.898801
3166,11127098.604752,4636.291085,2834660.189887
3167,11127099.624852,4636.291510,2839296.481397
3168,11127100.644952,4636.291935,2843932.773332
3169,11127101.665052,4636.292360,2848569.065693
3170,11127102.705656,4636.292794,2853205.358487
3171,11127103.725756,4636.293219,2857841.651706
